Time,Demand_s1,GasBase_s1,GasOption_s1,GasPeak_s1,SolarPower_s1,SpotMarket_s1,WindPower_s1,Demand_s2,GasBase_s2,GasOption_s2,GasPeak_s2,SolarPower_s2,SpotMarket_s2,WindPower_s2,Demand_s3,GasBase_s3,GasOption_s3,GasPeak_s3,SolarPower_s3,SpotMarket_s3,WindPower_s3,Demand_s4,GasBase_s4,GasOption_s4,GasPeak_s4,SolarPower_s4,SpotMarket_s4,WindPower_s4,Demand_s5,GasBase_s5,GasOption_s5,GasPeak_s5,SolarPower_s5,SpotMarket_s5,WindPower_s5
2021-01-01 06:45:00,8.236799999999999,9.999999999976113,1.2384409235123721e-11,0.0,0.0,-1.5866657147561847,0.0,8.28864,9.999999999976113,1.3162009416138505e-11,0.0,0.0,-1.3888317949163531,0.0,8.43552,9.999999999976113,2.163499011254804e-12,0.0,0.0,-1.5644799999797108,0.0,8.37504,9.999999999976113,1.3053631642505007e-11,0.0,0.0,-1.5202678991087728,0.0,8.39232,9.999999999976113,1.2381167751181164e-11,0.0,0.0,-1.3035797322269747,0.0
2021-01-01 07:00:00,8.34048,9.999999999976113,1.1967971721494218e-11,0.0,0.0,-1.42766323022615,0.0,8.418239999999999,9.999999999976113,1.2884025081895996e-11,0.0,0.0,-1.258328747635588,0.0,8.56512,9.999999999976113,2.527760034401124e-11,0.0,0.0,-1.4348800000029969,0.0,8.53056,9.999999999976113,1.3350141805165472e-11,0.0,0.0,-1.3704359274644777,0.0,8.496,9.999999999976113,1.273880737651692e-11,0.0,0.0,-1.2266021992694072,0.0
2021-01-01 07:15:00,8.4528,9.999999999976113,1.2154259949561606e-11,0.0,0.0,-1.3457782132565366,0.0,8.50464,9.999999999976113,1.301031990425419e-11,0.0,0.0,-1.172250474546823,0.0,8.69472,9.999999999976113,2.3483863204034166e-11,0.0,0.0,-1.3052800000011322,0.0,8.64288,9.999999999976113,1.4177582015366482e-11,0.0,0.0,-1.2782616461947025,0.0,8.64288,9.999999999976113,1.3174940464108136e-11,0.0,0.0,-1.0880666890445747,0.0
2021-01-01 07:30:00,8.570879999999999,9.999999999976113,1.2208356062636048e-11,0.0,0.0,-1.23446264377827,0.0,8.591040000000001,9.999999999976113,1.3006204049687416e-11,0.0,0.0,-1.0858376146844324,0.0,8.735040000000001,9.999999999976113,2.4093299636911128e-11,0.0,0.0,-1.2649600000017558,0.0,8.73792,9.999999999976113,1.421516380645957e-11,0.0,0.0,-1.1858139613634688,0.0,8.6688,9.999999999976113,1.5654539539397138e-11,0.0,0.0,-1.0629766131286789,0.0
2021-01-01 07:45:00,8.70336,9.999999999976113,1.2086609437943012e-11,0.0,0.0,-1.0856561537985525,0.0,8.729280000000001,9.999999999976113,1.2986994152108808e-11,0.0,0.0,-0.9475394421280702,0.0,8.80704,9.999999999976113,2.3028322656963474e-11,0.0,0.0,-1.1929600000006657,0.0,8.87616,9.999999999976113,1.4081508600564885e-11,0.0,0.0,-1.0412511089940317,0.0,8.77248,9.999999999976113,1.4054779092305195e-11,0.0,0.0,-0.9677361675731938,0.0
2021-01-01 08:00:00,8.80704,9.999999999976113,1.1620021109505664e-11,0.0,0.02,-0.8463429835571579,0.0,8.85024,9.999999999976113,1.2780522493003506e-11,0.0,0.0,-0.8261906998125227,0.0,8.919360000000001,9.999999999976113,2.5970992185825507e-11,0.0,0.01,-1.0906400000032739,0.0,9.00576,9.999999999976113,1.3173705628692522e-11,0.0,0.0,-0.8918922926759151,0.0,8.89344,9.999999999976113,1.2933708877637353e-11,0.0,0.0,-0.8332536349931441,0.0
2021-01-01 08:15:00,8.89344,9.999999999976113,1.1542413731311575e-11,0.0,0.07,-0.760624249010827,0.0,8.96256,9.999999999976113,1.2618772247853151e-11,0.0,0.07,-0.7839040542926503,0.0,9.074879999999999,9.999999999976113,2.464943269054276e-11,0.0,0.1,-1.0251200000018719,0.0,9.144,9.999999999976113,1.3179020544829068e-11,0.0,0.02,-0.7737543450359807,0.0,9.04896,9.999999999976113,1.3145464213947842e-11,0.0,0.05,-0.7315121332276701,0.0
2021-01-01 08:30:00,9.0144,9.999999999976113,1.1594326346241177e-11,0.0,0.1,-0.704682173459747,0.0,9.115200000000002,9.999999999976113,1.2874410808758965e-11,0.0,0.16,-0.7213514589856774,0.0,9.2304,9.999999999976113,2.306792553350046e-11,0.0,0.16,-0.9296000000002427,0.0,9.1872,9.999999999976113,1.3189625284831056e-11,0.0,0.13,-0.840757571780476,0.0,9.2448,9.999999999976113,1.3181612397827281e-11,0.0,0.15,-0.6362527997198962,0.0
2021-01-01 08:45:00,9.1008,9.999999999976113,1.1577358480117684e-11,0.0,0.04,-0.5478310579180001,0.0,9.19584,9.999999999976113,1.2749369530775921e-11,0.0,0.21,-0.6905728474578864,0.0,9.299520000000001,9.999999999976113,2.5013705750980272e-11,0.0,0.22,-0.9204800000022514,0.0,9.38592,9.999999999976113,1.3196236157489866e-11,0.0,0.18,-0.6921640608871793,0.0,9.36864,9.999999999976113,1.3102611096320867e-11,0.0,0.19,-0.5511203007900382,0.0
2021-01-01 09:00:00,9.1872,9.999999999976113,1.1624467813121023e-11,0.0,0.19,-0.6384909467063778,0.0,9.26784,9.999999999976113,1.2579818915864982e-11,0.0,0.27,-0.6757275815316998,0.0,9.41184,9.999999999976113,2.411543164156618e-11,0.0,0.27,-0.8581600000013168,0.0,9.55872,9.999999999976113,1.3190948736094517e-11,0.0,0.23,-0.5692629426196424,0.0,9.46368,9.999999999976113,1.351918831424034e-11,0.0,0.24,-0.5119661810261585,0.0
